Name,Description,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_36,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SHENTON WAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 6</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>42CEFA5FE7DD78D9</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SHENTON WAY MRT STATION,Exit 6,42CEFA5FE7DD78D9,20230127204435,1.27792920509497,103.849893223277
kml_37,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>MARINA BAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 1</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>4F0EDD7252D1EAF8</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",MARINA BAY MRT STATION,Exit 1,4F0EDD7252D1EAF8,20230127204435,1.27735303297793,103.854470032954
kml_38,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>MARINA BAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 5</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>03BC8BA7B72C2D81</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",MARINA BAY MRT STATION,Exit 5,03BC8BA7B72C2D81,20230127204435,1.27469326445441,103.854319501956
kml_39,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>MARINA BAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 4</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>F125CE014C37C2DB</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",MARINA BAY MRT STATION,Exit 4,F125CE014C37C2DB,20230127204435,1.27363420910955,103.856488836263
kml_40,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>MARINA BAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 3</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>2F2639EB423EFD0D</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",MARINA BAY MRT STATION,Exit 3,2F2639EB423EFD0D,20230127204435,1.27541636589719,103.85537174149
kml_41,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>ORCHARD MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 11</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>0A847CDFAB7B3F63</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",ORCHARD MRT STATION,Exit 11,0A847CDFAB7B3F63,20230127204435,1.30421797905404,103.830496723547
kml_42,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>ORCHARD MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 10</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>B3BE3F499ED707F1</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",ORCHARD MRT STATION,Exit 10,B3BE3F499ED707F1,20230127204435,1.30404570543486,103.831126574248
kml_43,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>ORCHARD MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 9</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>AD31C99F12BAEE46</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",ORCHARD MRT STATION,Exit 9,AD31C99F12BAEE46,20230127204435,1.30366551621641,103.831506861841
kml_44,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>ORCHARD MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 8</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>705858431FF72BCB</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",ORCHARD MRT STATION,Exit 8,705858431FF72BCB,20230127204435,1.30344571958931,103.83178613556
kml_45,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>ORCHARD MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 13</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>DBD31FCCFBAE692E</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",ORCHARD MRT STATION,Exit 13,DBD31FCCFBAE692E,20230127204435,1.30229921132352,103.832124829631
